(78) 56630000 Hz: S11=1.000411+0.000371j, S21=0.000035+-0.000004j
(79) 56715000 Hz: S11=1.000571+0.000341j, S21=0.000112+-0.000010j
(80) 56800000 Hz: S11=1.000540+0.000397j, S21=0.000091+-0.000006j
(81) 56885000 Hz: S11=1.000498+0.000481j, S21=0.000066+-0.000003j
(82) 56970000 Hz: S11=1.000381+0.000398j, S21=0.000046+0.000030j
(83) 57055000 Hz: S11=1.000405+0.000448j, S21=0.000068+0.000036j
(84) 57140000 Hz: S11=1.000381+0.000367j, S21=0.000116+0.000052j
(85) 57225000 Hz: S11=1.000451+0.000470j, S21=0.000063+-0.000003j
(86) 57310000 Hz: S11=1.000402+0.000347j, S21=0.000046+-0.000020j
(87) 57395000 Hz: S11=1.000273+0.000303j, S21=0.000056+-0.000005j
(88) 57480000 Hz: S11=1.000507+0.000378j, S21=0.000100+-0.000007j
(89) 57565000 Hz: S11=1.000407+0.000346j, S21=0.000043+0.000039j
(90) 57650000 Hz: S11=1.000451+0.000312j, S21=0.000104+0.000064j
(91) 57735000 Hz: S11=1.000356+0.000469j, S21=0.000041+-0.000022j
(92) 57820000 Hz: S11=1.000463+0.000443j, S21=0.000086+-0.000046j
(93) 57905000 Hz: S11=1.000453+0.000350j, S21=0.000065+-0.000011j
(94) 57990000 Hz: S11=1.000443+0.000562j, S21=0.000052+-0.000004j
(95) 58075000 Hz: S11=1.000366+0.000264j, S21=0.000013+0.000086j
(96) 58160000 Hz: S11=1.000329+0.000485j, S21=0.000027+-0.000023j
(97) 58245000 Hz: S11=1.000476+0.000609j, S21=0.000023+0.000051j
(98) 58330000 Hz: S11=1.000441+0.000309j, S21=0.000103+-0.000009j
(99) 58415000 Hz: S11=1.000322+0.000395j, S21=0.000062+-0.000033j
(100) 58500000 Hz: S11=1.000509+0.000313j, S21=0.000103+-0.000105j
(101) 1851876211 Hz: S11=0.000001+0.000000j, S21=0.000011+0.000000j
(102) 808333360 Hz: S11=0.000000+0.000000j, S21=0.000000+-0.000000j
(103) 2684380416 Hz: S11=-564731772928.000000+-12851360768.000000j, S21=0.000000+-3239229438033920.000000j
(104) 2822208572 Hz: S11=-10667892581239996676830832539729920.000000+-11.968760j, S21=0.000000+3408532770951733968896.000000j
(105) 2956461170 Hz: S11=-170692857237328630769313584783556608.000000+-0.000046j, S21=61729660676183485409894032906561519616.000000+-0.000000j
(106) 3090675622 Hz: S11=-0.002007+200802496.000000j, S21=-0.000000+-0.000000j
(107) 3224876284 Hz: S11=0.000000+0.000000j, S21=-898774218249436537624199168.000000+11.541786j
(108) 3359127075 Hz: S11=-148069564465283072.000000+-0.000011j, S21=-0.000000+0.000000j
(109) 3501715597 Hz: S11=682876643949133466117578565500272640.000000+-0.000000j, S21=-199441530880.000000+0.000000j
(110) 3627540189 Hz: S11=-0.000000+15536341849617690254687168173703168.000000j, S21=-190501.265625+-0.000000j
(111) 3770011811 Hz: S11=-0.008028+3617336472873038205943808.000000j, S21=-3853791561832141458751835646531207168.000000+-0.000000j
(112) 3895968265 Hz: S11=-0.000000+0.000000j, S21=0.000000+-217483275562153093890048.000000j
(113) 4038569242 Hz: S11=0.000000+0.000003j, S21=-3343858676770275328.000000+812675323920384.000000j
(114) 4164411220 Hz: S11=-606633110588201369600.000000+-0.000000j, S21=0.000000+-0.000000j
(115) 3601212 Hz: S11=0.000000+0.002922j, S21=0.000000+919674784992898735902086767050752.000000j
(116) 137890121 Hz: S11=-0.000000+3212841472.000000j, S21=194850048.000000+-233795537595004218315169842855936.000000j
(117) 272110883 Hz: S11=-0.000000+-13475628468666368.000000j, S21=-46.387096+0.000000j
(118) 414567065 Hz: S11=-0.000000+-49024.050781j, S21=-0.000000+0.000000j
(119) 540465984 Hz: S11=-0.000000+-200802528.000000j, S21=-11.606254+-0.000000j
(120) 683085882 Hz: S11=0.000002+-0.000000j, S21=778359168.000000+3324041628947054592.000000j
(121) 817383694 Hz: S11=0.000000+842226846400512.000000j, S21=-918235148374331760702994251776.000000+-0.000000j
(122) 943151769 Hz: S11=2314834901204992.000000+0.000000j, S21=797127933952.000000+0.000000j
(123) 1077412281 Hz: S11=-0.000000+-3617336184642662054232064.000000j, S21=-0.000000+0.000000j
(124) 1219987923 Hz: S11=-41703569300940980028267334467584.000000+883138998428751626240.000000j, S21=-0.000000+-774330688.000000j
(125) 1345828463 Hz: S11=155363882908334688305152.000000+-60688830514365824098855051853824.000000j, S21=0.000000+55167875067875949652475904.000000j
(126) 1488436001 Hz: S11=-0.000000+0.000000j, S21=-53499821280045563904.000000+53267054668445384704.000000j
(127) 1614286591 Hz: S11=36176257875968.000000+0.000000j, S21=-13681262379807274958848.000000+0.000044j
(128) 1756850973 Hz: S11=-10934023910822975357175299748527079424.000000+0.000001j, S21=0.000003+13000048887463936.000000j
(129) 1891083778 Hz: S11=2545873813988233713744347136.000000+-231509515817130371470852096.000000j, S21=3855036711634215637081455783254687744.000000+-218316171277238993420288.000000j
(130) 2016932674 Hz: S11=-0.514155+0.000000j, S21=0.000000+-0.180025j
(131) 2159489738 Hz: S11=-141335265280.000000+-0.000000j, S21=0.000044+-0.000003j
(132) 2285366991 Hz: S11=-33698.250000+52639173705728.000000j, S21=-53401063145638723584.000000+-959574821733525552544698515620626432.000000j
(133) 2419625314 Hz: S11=0.000000+-0.000000j, S21=0.000000+-3489861400873172956348416.000000j
(134) 2553845214 Hz: S11=0.000000+200802512.000000j, S21=189423.265625+0.000000j
(135) 2696453359 Hz: S11=0.000502+0.000000j, S21=0.000000+12936685234946048.000000j
(136) 2822261037 Hz: S11=0.000000+-0.000000j, S21=-876311568415255718526976.000000+59743961792663408946288355560128512.000000j
(137) 2964852775 Hz: S11=-0.000000+-0.000000j, S21=213928054358888415232.000000+-53107229658231865344.000000j
(138) 3090671997 Hz: S11=-10938232510815733078788268803168927744.000000+-254547364016907426177783291516198846464.000000j, S21=-14311102111545941884823142400.000000+-198043729920.000000j
(139) 3224892355 Hz: S11=2428868966134480633856.000000+49024.062500j, S21=-61593555566538180875514134876806709248.000000+-55773228033084820725694464.000000j
(140) 3359126858 Hz: S11=0.514353+-0.187012j, S21=0.000000+0.000000j
(141) 3493358095 Hz: S11=0.000000+-237065744196741500386152546304.000000j, S21=3856084107942654211624442434278129664.000000+-0.000000j
(142) 3627416433 Hz: S11=-9049286377472.000000+0.000000j, S21=3257705582034944.000000+788719140864.000000j
